game_date,game_name,game_score,added_ts,player_id,game_dtl
2022-12-12,worldle,6/6,2022-12-12 15:38:00,Matt,
2022-12-12,worldle,6/6,2022-12-12 15:38:00,Matt,
2022-12-12,worldle,6/6,2022-12-12 16:35:00,Matt,
2022-12-13,worldle,3/6,2022-12-13 07:20:00,Andy,
2022-12-13,worldle,X/6,2022-12-13 09:30:00,acowinthecrowd,
2022-12-13,worldle,1/6,2022-12-13 09:57:00,Matt,
2022-12-14,worldle,1/6,2022-12-14 08:34:00,Andy,
2022-12-14,worldle,1/6,2022-12-14 08:38:00,Matt,
2022-12-14,worldle,1/6,2022-12-14 08:52:00,Mickey,
2022-12-14,worldle,1/6,2022-12-14 09:06:00,acowinthecrowd,
2022-12-12,wordle,5/6,2022-12-12 16:11:00,jeskaeli,
2022-12-12,wordle,5/6,2022-12-12 16:38:00,Matt,
2022-12-12,wordle,3/6,2022-12-12 16:43:00,acowinthecrowd,
2022-12-12,wordle,4/6,2022-12-14 23:54:00,croasus,
2022-12-12,wordle,4/6,2022-12-14 23:54:00,mbbananas,
2022-12-12,wordle,5/6,2022-12-12 21:36:00,Kyle,
2022-12-13,wordle,3/6,2022-12-13 09:01:00,mbbananas,
2022-12-13,wordle,3/6,2022-12-13 09:28:00,acowinthecrowd,
2022-12-13,wordle,3/6,2022-12-13 10:46:00,jeskaeli,
2022-12-13,wordle,4/6,2022-12-13 14:07:00,croasus,
2022-12-14,wordle,4/6,2022-12-14 09:05:00,acowinthecrowd,
2022-12-14,wordle,5/6,2022-12-14 09:49:00,Matt,
2022-12-14,wordle,4/6,2022-12-14 09:55:00,mbbananas,
2022-12-14,wordle,5/6,2022-12-14 10:37:00,croasus,
2022-12-14,wordle,5/6,2022-12-14 13:38:00,jeskaeli,
2022-12-13,factle,5/5,2022-12-13 06:10:00,Matt,"Rank EGOT Award (Emmy, Golden Globe, Oscar, Tony) winners by the youngest age when completed"
2022-12-13,factle,3/5,2022-12-13 06:32:00,Matt,Rank these countries based on who has the most gold medals in the Olympics (All Time)
2022-12-13,factle,5/5,2022-12-13 09:33:00,acowinthecrowd,"Rank EGOT Award (Emmy, Golden Globe, Oscar, Tony) winners by the youngest age when completed"
2022-12-13,factle,3/5,2022-12-13 09:36:00,acowinthecrowd,Rank these countries based on who has the most gold medals in the Olympics (All Time)
2022-12-14,factle,5/5,2022-12-14 08:27:00,Matt,The first 5 cities to ever host the Summer Olympics
2022-12-14,factle,4/5,2022-12-14 08:29:00,Matt,Rank these athletes by the most home runs made in MLB between the 2000 and 2009 seasons
2022-12-14,factle,5/5,2022-12-14 09:37:00,acowinthecrowd,The first 5 cities to ever host the Summer Olympics
2022-12-14,boxoffice,205,2022-12-14 21:11:00,Matt,"November 3, 2017"
2022-12-14,boxoffice,205,2022-12-14 21:23:00,Matt,"November 3, 2017"
2022-12-15,boxoffice,540,2022-12-15 02:41:00,Mickey,"May 12, 2000"
2022-12-15,worldle,4/6,2022-12-15 02:43:00,Mickey,
2022-12-15,worldle,X/6,2022-12-15 07:30:00,Matt,
2022-12-15,factle,5/5,2022-12-15 07:34:00,Matt,"Most popular songs in the United States in 2021, by number of audio streams"
2022-12-15,wordle,3/6,2022-12-15 07:43:00,acowinthecrowd,
2022-12-15,worldle,X/6,2022-12-15 07:49:00,acowinthecrowd,
2022-12-15,factle,5/5,2022-12-15 07:51:00,acowinthecrowd,"Most popular songs in the United States in 2021, by number of audio streams"
2022-12-15,boxoffice,280,2022-12-15 07:57:00,acowinthecrowd,"May 12, 2000"
2022-12-15,factle,5/5,2022-12-15 08:12:00,Matt,Rank these athletes by the most points scored in the NHL All Time
2022-12-15,boxoffice,85,2022-12-15 08:15:00,Matt,"May 12, 2000"
2022-12-15,boxoffice,525,2022-12-15 09:41:00,TuckleTheKnuckle,"May 12, 2000"
2022-12-15,wordle,4/6,2022-12-15 10:01:00,mbbananas,
2022-12-15,boxoffice,650,2022-12-15 10:10:00,mbbananas,"May 12, 2000"
2022-12-15,wordle,4/6,2022-12-15 10:53:00,Matt,
2022-12-15,wordle,4/6,2022-12-15 12:10:00,jeskaeli,
2022-12-15,wordle,3/6,2022-12-15 13:51:00,croasus,
2022-12-15,wordle,2/6,2022-12-15 22:09:00,TuckleTheKnuckle,
2022-12-16,wordle,5/6,2022-12-16 07:31:00,acowinthecrowd,
2022-12-16,worldle,X/6,2022-12-16 07:43:00,acowinthecrowd,
2022-12-16,factle,4/5,2022-12-16 07:45:00,acowinthecrowd,The Richest Hip Hop Rappers in the world
2022-12-16,factle,3/5,2022-12-16 08:06:00,Matt,The Richest Hip Hop Rappers in the world
2022-12-16,factle,5/5,2022-12-16 08:08:00,Matt,Rank the top 5 richest boxers in the world (all time)
2022-12-16,worldle,X/6,2022-12-16 08:09:00,Matt,
2022-12-16,wordle,5/6,2022-12-16 08:11:00,Matt,
2022-12-16,boxoffice,85,2022-12-16 08:14:00,Matt,"October 15, 1993"
2022-12-16,boxoffice,400,2022-12-16 09:16:00,TuckleTheKnuckle,"October 15, 1993"
2022-12-16,boxoffice,480,2022-12-16 09:29:00,acowinthecrowd,"October 15, 1993"
2022-12-16,wordle,4/6,2022-12-16 12:26:00,mbbananas,
2022-12-16,wordle,4/6,2022-12-16 12:28:00,jeskaeli,
2022-12-16,boxoffice,480,2022-12-16 12:31:00,mbbananas,"October 15, 1993"
2022-12-16,wordle,3/6,2022-12-16 13:30:00,croasus,
2022-12-16,wordle,3/6,2022-12-16 20:49:00,Kyle,
2022-12-17,worldle,X/6,2022-12-17 08:55:00,acowinthecrowd,
2022-12-17,wordle,3/6,2022-12-17 08:55:00,acowinthecrowd,
2022-12-17,factle,5/5,2022-12-17 08:59:00,acowinthecrowd,Rappers with the most #1 albums (tiebreaker is the artist who had their first #1 album earlier)
2022-12-17,worldle,X/6,2022-12-17 09:06:00,Andy,
2022-12-17,boxoffice,280,2022-12-17 09:07:00,acowinthecrowd,"February 19, 1999"
2022-12-17,boxoffice,505,2022-12-17 10:11:00,TuckleTheKnuckle,"February 19, 1999"
2022-12-17,worldle,X/6,2022-12-17 10:19:00,Matt,
2022-12-17,boxoffice,0,2022-12-17 10:22:00,Matt,"February 19, 1999"
2022-12-17,factle,5/5,2022-12-17 10:27:00,Matt,Rappers with the most #1 albums (tiebreaker is the artist who had their first #1 album earlier)
2022-12-17,factle,5/5,2022-12-17 10:56:00,Matt,Rank these athletes by most thrown touchdowns between the 1970 and 1979 seasons
2022-12-17,wordle,2/6,2022-12-17 11:19:00,croasus,
2022-12-17,wordle,3/6,2022-12-17 11:20:00,Kyle,
2022-12-17,wordle,4/6,2022-12-17 11:20:00,mbbananas,
2022-12-17,boxoffice,715,2022-12-17 11:25:00,mbbananas,"February 19, 1999"
2022-12-17,wordle,3/6,2022-12-17 19:25:44,Matt,
2022-12-18,factle,5/5,2022-12-18 07:31:12,Matt,Rank these athletes by the most home runs made between the 1970 and 1979 seasons
2022-12-18,worldle,3/6,2022-12-18 07:32:05,Matt,
2022-12-18,wordle,4/6,2022-12-18 08:01:24,Kyle,
2022-12-18,wordle,6/6,2022-12-18 08:20:49,Matt,
2022-12-18,factle,5/5,2022-12-18 09:18:47,Matt,Largest Tech IPOs as of 2021
2022-12-18,wordle,3/6,2022-12-18 09:19:42,acowinthecrowd,
2022-12-18,worldle,3/6,2022-12-18 09:20:29,acowinthecrowd,
2022-12-18,boxoffice,160,2022-12-18 09:20:59,Matt,"September 13, 1985"
2022-12-18,factle,5/5,2022-12-18 09:22:23,acowinthecrowd,Largest Tech IPOs as of 2021
2022-12-18,wordle,3/6,2022-12-18 09:34:03,mbbananas,
2022-12-18,boxoffice,400,2022-12-18 09:39:47,mbbananas,"September 13, 1985"
2022-12-18,boxoffice,160,2022-12-18 09:47:52,acowinthecrowd,"September 13, 1985"
2022-12-18,worldle,1/6,2022-12-18 11:34:25,Andy,
2022-12-18,boxoffice,480,2022-12-18 13:51:35,TuckleTheKnuckle,"September 13, 1985"
2022-12-18,wordle,5/6,2022-12-18 14:44:54,croasus,
2022-12-19,wordle,3/6,2022-12-19 08:34:54,Matt,
2022-12-19,wordle,3/6,2022-12-19 08:34:54,Kyle,
2022-12-19,boxoffice,875,2022-12-19 08:37:29,TuckleTheKnuckle,"June 22, 2012"
2022-12-19,factle,1/5,2022-12-19 09:13:59,Matt,Tech companies with the highest market capitalization as of Nov 8 2022
2022-12-19,factle,4/5,2022-12-19 09:21:23,Matt,Rank the top 5 highest paid NBA player of all time
2022-12-19,worldle,X/6,2022-12-19 09:28:05,Matt,
2022-12-19,wordle,3/6,2022-12-19 09:50:43,croasus,
2022-12-19,wordle,2/6,2022-12-19 11:57:53,acowinthecrowd,
2022-12-19,worldle,X/6,2022-12-19 11:59:01,acowinthecrowd,
2022-12-19,factle,4/5,2022-12-19 12:00:54,acowinthecrowd,Tech companies with the highest market capitalization as of Nov 8 2022
2022-12-19,boxoffice,85,2022-12-19 12:05:16,acowinthecrowd,"June 22, 2012"
2022-12-19,worldle,X/6,2022-12-19 12:09:09,Mickey,
2022-12-19,boxoffice,785,2022-12-19 12:22:03,Mickey,"June 22, 2012"
2022-12-19,boxoffice,0,2022-12-19 12:43:42,Matt,"June 22, 2012"
2022-12-19,wordle,3/6,2022-12-19 15:33:44,mbbananas,
2022-12-19,boxoffice,815,2022-12-19 15:38:51,mbbananas,"June 22, 2012"
